,Negative,date
456,7427,2018-01-30
457,5384,2018-01-31
458,4597,2018-02-01
459,6425,2018-02-02
460,3140,2018-02-03
461,2741,2018-02-04
462,4315,2018-02-05
463,4577,2018-02-06
464,4937,2018-02-07
465,4597,2018-02-08
466,4133,2018-02-09
467,2242,2018-02-10
468,2309,2018-02-11
469,4062,2018-02-12
470,4195,2018-02-13
471,4507,2018-02-14
472,6357,2018-02-15
473,6193,2018-02-16
474,4457,2018-02-17
475,4146,2018-02-18
476,5135,2018-02-19
477,5440,2018-02-20
478,6097,2018-02-21
479,7029,2018-02-22
480,5831,2018-02-23
481,3709,2018-02-24
482,3601,2018-02-25
483,5057,2018-02-26
484,4767,2018-02-27
485,4024,2018-02-28
